ID,original,sampling,HE_Feature,HE_Heatmap
SRP1_x0000_y0010,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0000_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0000_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0000_y0010.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0000_y0010.tiff
SRP1_x0000_y0011,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0000_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0000_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0000_y0011.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0000_y0011.tiff
SRP1_x0000_y0012,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0000_y0012.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0000_y0012.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0000_y0012.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0000_y0012.tiff
SRP1_x0000_y0013,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0000_y0013.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0000_y0013.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0000_y0013.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0000_y0013.tiff
SRP1_x0000_y0014,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0000_y0014.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0000_y0014.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0000_y0014.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0000_y0014.tiff
SRP1_x0000_y0015,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0000_y0015.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0000_y0015.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0000_y0015.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0000_y0015.tiff
SRP1_x0001_y0000,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0000.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0000.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0000.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0000.tiff
SRP1_x0001_y0001,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0001.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0001.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0001.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0001.tiff
SRP1_x0001_y0002,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0002.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0002.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0002.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0002.tiff
SRP1_x0001_y0003,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0003.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0003.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0003.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0003.tiff
SRP1_x0001_y0004,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0004.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0004.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0004.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0004.tiff
SRP1_x0001_y0005,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0005.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0005.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0005.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0005.tiff
SRP1_x0001_y0006,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0006.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0006.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0006.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0006.tiff
SRP1_x0001_y0007,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0007.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0007.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0007.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0007.tiff
SRP1_x0001_y0008,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0008.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0008.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0008.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0008.tiff
SRP1_x0001_y0009,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0009.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0009.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0009.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0009.tiff
SRP1_x0001_y0010,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0010.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0010.tiff
SRP1_x0001_y0011,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0011.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0011.tiff
SRP1_x0001_y0012,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0012.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0012.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0012.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0012.tiff
SRP1_x0001_y0013,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0013.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0013.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0013.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0013.tiff
SRP1_x0001_y0014,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0014.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0014.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0014.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0014.tiff
SRP1_x0001_y0015,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0001_y0015.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0001_y0015.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0001_y0015.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0001_y0015.tiff
SRP1_x0002_y0000,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0000.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0000.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0000.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0000.tiff
SRP1_x0002_y0001,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0001.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0001.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0001.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0001.tiff
SRP1_x0002_y0002,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0002.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0002.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0002.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0002.tiff
SRP1_x0002_y0003,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0003.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0003.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0003.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0003.tiff
SRP1_x0002_y0004,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0004.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0004.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0004.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0004.tiff
SRP1_x0002_y0005,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0005.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0005.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0005.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0005.tiff
SRP1_x0002_y0006,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0006.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0006.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0006.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0006.tiff
SRP1_x0002_y0007,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0007.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0007.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0007.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0007.tiff
SRP1_x0002_y0008,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0008.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0008.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0008.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0008.tiff
SRP1_x0002_y0009,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0009.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0009.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0009.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0009.tiff
SRP1_x0002_y0010,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0010.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0010.tiff
SRP1_x0002_y0011,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0011.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0011.tiff
SRP1_x0002_y0012,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0012.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0012.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0012.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0012.tiff
SRP1_x0002_y0013,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0013.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0013.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0013.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0013.tiff
SRP1_x0002_y0014,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0014.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0014.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0014.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0014.tiff
SRP1_x0002_y0015,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0002_y0015.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0002_y0015.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0002_y0015.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0002_y0015.tiff
SRP1_x0003_y0000,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0000.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0000.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0000.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0000.tiff
SRP1_x0003_y0001,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0001.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0001.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0001.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0001.tiff
SRP1_x0003_y0002,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0002.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0002.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0002.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0002.tiff
SRP1_x0003_y0003,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0003.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0003.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0003.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0003.tiff
SRP1_x0003_y0004,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0004.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0004.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0004.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0004.tiff
SRP1_x0003_y0005,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0005.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0005.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0005.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0005.tiff
SRP1_x0003_y0006,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0006.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0006.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0006.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0006.tiff
SRP1_x0003_y0007,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0007.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0007.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0007.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0007.tiff
SRP1_x0003_y0008,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0008.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0008.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0008.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0008.tiff
SRP1_x0003_y0009,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0009.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0009.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0009.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0009.tiff
SRP1_x0003_y0010,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0010.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0010.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0010.tiff
SRP1_x0003_y0011,D:\bio_inf\02 MSI\20260509空蛋\HE\original\1_original_SRP1_x0003_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\sampling\1_sampling_SRP1_x0003_y0011.tiff,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Feature\HE_Feature_SRP1_x0003_y0011.npy,D:\bio_inf\02 MSI\20260509空蛋\HE\HE_Heatmap\HE_Heatmap_SRP1_x0003_y0011.tiff
